Team,Group,FIFAConfederation,GamesPlayed
Czechia,A,UEFA,3
Mexico,A,CONCACAF,5
South Africa,A,CAF,4
Korea Republic,A,AFC,3
Bosnia and Herzegovina,B,UEFA,4
Canada,B,CONCACAF,5
Qatar,B,AFC,3
Switzerland,B,UEFA,5
Brazil,C,CONMEBOL,5
Haiti,C,CONCACAF,3
Morocco,C,CAF,5
Scotland,C,UEFA,3
Australia,D,AFC,4
Paraguay,D,CONMEBOL,5
Turkey,D,UEFA,3
USA,D,CONCACAF,5
Cote d'Ivoire / Ivory Coast,E,CAF,4
Curacao,E,CONCACAF,3
Ecuador,E,CONMEBOL,4
Germany,E,UEFA,4
Japan,F,AFC,4
Netherlands,F,UEFA,4
Sweden,F,UEFA,4
Tunisia,F,CAF,3
Belgium,G,UEFA,5
Egypt,G,CAF,5
IR Iran,G,AFC,3
New Zealand,G,OFC,3
Cabo Verde,H,CAF,4
Saudi Arabia,H,AFC,3
Spain,H,UEFA,5
Uruguay,H,CONMEBOL,3
France,I,UEFA,5
Iraq,I,AFC,3
Norway,I,UEFA,5
Senegal,I,CAF,4
Algeria,J,CAF,4
Argentina,J,CONMEBOL,5
Austria,J,UEFA,4
Jordan,J,AFC,3
Colombia,K,CONMEBOL,5
Congo DR,K,CAF,4
Portugal,K,UEFA,5
Uzbekistan,K,AFC,3
Croatia,L,UEFA,4
England,L,UEFA,5
Ghana,L,CAF,4
Panama,L,CONCACAF,3
