CO2 per 1000,Type,Year,Region
0.000457195,Industrial Processes (Mt CO2e),1984,Oceania
0.000643924,Fugitive Emissions (Energy) (Mt CO2e),1992,Europe
,Industrial Combustion (Energy) (Mt CO2e),1965,Europe
0.001449302,Transport (Energy) (Mt CO2e),2020,Middle East
1.436343071e-06,Waste (Mt CO2e),1974,Asia
3.916564953e-06,Waste (Mt CO2e),2006,Europe
0.001361533,Power Industry (Energy) (Mt CO2e),2009,Asia
6.782404794e-05,Industrial Processes (Mt CO2e),1975,Africa
0.001413773,Transport (Energy) (Mt CO2e),1997,Europe
1.109399392e-08,Waste (Mt CO2e),2017,Africa
0.000901985,Fugitive Emissions (Energy) (Mt CO2e),2013,Middle East
0.001995523,Building (Energy) (Mt CO2e),1985,Europe
,Industrial Processes (Mt CO2e),1961,Europe
5.324136690e-06,Agriculture (Mt CO2e),2016,Africa
7.188135303e-06,Agriculture (Mt CO2e),1975,Asia
0.000739427,Industrial Combustion (Energy) (Mt CO2e),1984,Middle East
0.000123686,Industrial Processes (Mt CO2e),1980,Asia
0.000475229,Industrial Processes (Mt CO2e),1998,Europe
0.000348607,Building (Energy) (Mt CO2e),1970,Middle East
0.001949687,Power Industry (Energy) (Mt CO2e),2020,The Americas
0.000605126,Fugitive Emissions (Energy) (Mt CO2e),1970,Europe
2.874117017e-05,Agriculture (Mt CO2e),2015,Europe
2.366635365e-05,Agriculture (Mt CO2e),2010,The Americas
7.384796623e-06,Agriculture (Mt CO2e),2024,Middle East
5.972689847e-05,Agriculture (Mt CO2e),2001,Oceania
2.949980417e-05,Agriculture (Mt CO2e),1991,Europe
0.000528934,Industrial Combustion (Energy) (Mt CO2e),2003,Asia
3.470896683e-09,Waste (Mt CO2e),1986,Middle East
3.463916715e-06,Waste (Mt CO2e),2009,Europe
2.197349020e-06,Waste (Mt CO2e),2022,Asia
4.235835314e-06,Waste (Mt CO2e),1988,Oceania
,Industrial Processes (Mt CO2e),1963,Europe
0.000787331,Industrial Combustion (Energy) (Mt CO2e),2015,The Americas
0.000318129,Industrial Processes (Mt CO2e),1982,The Americas
0.002904995,Power Industry (Energy) (Mt CO2e),2009,The Americas
0.000241070,Industrial Processes (Mt CO2e),2002,Asia
0.000584491,Industrial Combustion (Energy) (Mt CO2e),1977,Middle East
1.225159493e-08,Waste (Mt CO2e),2023,Africa
,Waste (Mt CO2e),2025,Africa
4.764274152e-07,Waste (Mt CO2e),1983,The Americas
4.183562620e-06,Waste (Mt CO2e),1988,Europe
0.000234699,Fugitive Emissions (Energy) (Mt CO2e),2004,Africa
,Fugitive Emissions (Energy) (Mt CO2e),1961,Middle East
1.747023160e-05,Agriculture (Mt CO2e),1992,Middle East
0.000529224,Fugitive Emissions (Energy) (Mt CO2e),2019,Europe
,Agriculture (Mt CO2e),1963,Africa
0.000540267,Industrial Processes (Mt CO2e),2005,Europe
,Industrial Processes (Mt CO2e),1968,The Americas
,Waste (Mt CO2e),1966,Asia
0.003634760,Power Industry (Energy) (Mt CO2e),1979,Europe
0.000324298,Power Industry (Energy) (Mt CO2e),1984,Africa
6.408888890e-07,Waste (Mt CO2e),2000,The Americas
0.005365455,Power Industry (Energy) (Mt CO2e),2013,Oceania
,Transport (Energy) (Mt CO2e),1960,Europe
5.173804074e-06,Agriculture (Mt CO2e),1991,Africa
,Industrial Combustion (Energy) (Mt CO2e),1967,The Americas
6.440425027e-07,Waste (Mt CO2e),2006,The Americas
0.001311318,Power Industry (Energy) (Mt CO2e),1991,Middle East
0.004978605,Power Industry (Energy) (Mt CO2e),2017,Oceania
0.000375963,Fugitive Emissions (Energy) (Mt CO2e),1973,Africa
0.002949401,Power Industry (Energy) (Mt CO2e),1977,The Americas
0.000611933,Fugitive Emissions (Energy) (Mt CO2e),2001,The Americas
7.630759476e-05,Agriculture (Mt CO2e),2014,Oceania
0.000381920,Industrial Processes (Mt CO2e),1976,The Americas
,Waste (Mt CO2e),1966,The Americas
,Industrial Processes (Mt CO2e),1960,Europe
0.000220328,Fugitive Emissions (Energy) (Mt CO2e),2014,Asia
0.000123926,Fugitive Emissions (Energy) (Mt CO2e),1990,Asia
0.000799859,Building (Energy) (Mt CO2e),2021,Oceania
0.000811492,Fugitive Emissions (Energy) (Mt CO2e),1975,Oceania
8.927770186e-05,Fugitive Emissions (Energy) (Mt CO2e),1974,Asia
0.000808209,Building (Energy) (Mt CO2e),2016,The Americas
0.000573167,Fugitive Emissions (Energy) (Mt CO2e),2010,Europe
2.350338003e-05,Agriculture (Mt CO2e),2003,Europe
0.000298194,Building (Energy) (Mt CO2e),2007,Asia
6.857878722e-05,Industrial Processes (Mt CO2e),1981,Africa
0.000630936,Industrial Processes (Mt CO2e),1985,Europe
0.000560642,Industrial Combustion (Energy) (Mt CO2e),1995,Asia
,Power Industry (Energy) (Mt CO2e),1967,Asia
,Agriculture (Mt CO2e),2025,The Americas
3.234425897e-06,Waste (Mt CO2e),2002,Oceania
7.614663910e-05,Industrial Processes (Mt CO2e),2001,Africa
0.001009971,Power Industry (Energy) (Mt CO2e),2003,Asia
,Agriculture (Mt CO2e),1965,The Americas
4.193651811e-05,Agriculture (Mt CO2e),1979,Europe
,Agriculture (Mt CO2e),1961,The Americas
0.000792134,Building (Energy) (Mt CO2e),2016,Oceania
5.976098350e-05,Agriculture (Mt CO2e),2006,Oceania
0.003022995,Power Industry (Energy) (Mt CO2e),1991,The Americas
0.000978978,Power Industry (Energy) (Mt CO2e),1982,Middle East
0.000484377,Industrial Processes (Mt CO2e),2011,Oceania
,Industrial Processes (Mt CO2e),1964,The Americas
0.000291278,Building (Energy) (Mt CO2e),2019,Asia
0.003425070,Power Industry (Energy) (Mt CO2e),1994,Europe
9.533460917e-05,Industrial Processes (Mt CO2e),2016,Africa
0.001286469,Transport (Energy) (Mt CO2e),1986,Europe
3.346612329e-09,Waste (Mt CO2e),1987,Middle East
7.857780659e-06,Agriculture (Mt CO2e),2021,Middle East
0.000661949,Fugitive Emissions (Energy) (Mt CO2e),1982,The Americas
0.001828954,Industrial Combustion (Energy) (Mt CO2e),1997,Oceania
1.724093752e-05,Agriculture (Mt CO2e),2007,Asia
0.001011593,Industrial Combustion (Energy) (Mt CO2e),2001,The Americas
0.000540827,Industrial Processes (Mt CO2e),2004,Europe
0.000307601,Building (Energy) (Mt CO2e),1997,Asia
0.000191081,Fugitive Emissions (Energy) (Mt CO2e),2008,Asia
1.286872354e-05,Agriculture (Mt CO2e),1985,Asia
7.401194955e-06,Agriculture (Mt CO2e),2015,Middle East
0.000268696,Fugitive Emissions (Energy) (Mt CO2e),2024,Asia
0.000599457,Fugitive Emissions (Energy) (Mt CO2e),2022,The Americas
,Building (Energy) (Mt CO2e),1960,Asia
0.003295235,Fugitive Emissions (Energy) (Mt CO2e),1977,Middle East
,Industrial Combustion (Energy) (Mt CO2e),2025,Oceania
0.001666506,Transport (Energy) (Mt CO2e),2007,Europe
0.000529477,Industrial Processes (Mt CO2e),1992,Europe
1.542836608e-05,Agriculture (Mt CO2e),1970,The Americas
,Agriculture (Mt CO2e),1961,Africa
0.002397846,Transport (Energy) (Mt CO2e),1977,Oceania
9.670357381e-05,Building (Energy) (Mt CO2e),1977,Africa
,Power Industry (Energy) (Mt CO2e),1968,Europe
4.197860885e-06,Waste (Mt CO2e),1986,Oceania
0.000902040,Fugitive Emissions (Energy) (Mt CO2e),1984,Middle East
,Industrial Combustion (Energy) (Mt CO2e),1960,Middle East
,Agriculture (Mt CO2e),1963,Europe
0.000125324,Industrial Combustion (Energy) (Mt CO2e),2002,Africa
0.000696740,Industrial Processes (Mt CO2e),2009,Middle East
1.893441053e-05,Agriculture (Mt CO2e),2012,Asia
0.001649316,Transport (Energy) (Mt CO2e),2008,Europe
0.000375166,Power Industry (Energy) (Mt CO2e),2017,Africa
5.166954587e-06,Agriculture (Mt CO2e),1999,Africa
0.002030719,Industrial Combustion (Energy) (Mt CO2e),1981,Oceania
0.001322297,Building (Energy) (Mt CO2e),1998,Europe
1.978357879e-05,Agriculture (Mt CO2e),1989,The Americas
,Industrial Combustion (Energy) (Mt CO2e),1965,Africa
6.715721369e-07,Waste (Mt CO2e),2012,The Americas
1.127708102e-08,Waste (Mt CO2e),2018,Africa
9.899913675e-07,Waste (Mt CO2e),2015,The Americas
0.000613178,Fugitive Emissions (Energy) (Mt CO2e),2016,The Americas
0.000340863,Power Industry (Energy) (Mt CO2e),2001,Africa
0.002205297,Industrial Combustion (Energy) (Mt CO2e),1980,Oceania
0.001069862,Building (Energy) (Mt CO2e),1994,The Americas
,Power Industry (Energy) (Mt CO2e),1961,Europe
0.005438582,Power Industry (Energy) (Mt CO2e),1997,Oceania
1.897212438e-05,Agriculture (Mt CO2e),1990,The Americas
0.000740691,Fugitive Emissions (Energy) (Mt CO2e),2003,Oceania
0.000523854,Building (Energy) (Mt CO2e),1982,Middle East
0.006185329,Power Industry (Energy) (Mt CO2e),2010,Oceania
0.000481968,Industrial Combustion (Energy) (Mt CO2e),1988,Asia
,Fugitive Emissions (Energy) (Mt CO2e),1961,Europe
1.659469056e-05,Agriculture (Mt CO2e),1996,Middle East
,Building (Energy) (Mt CO2e),1969,Africa
,Industrial Combustion (Energy) (Mt CO2e),1966,Middle East
0.000772234,Building (Energy) (Mt CO2e),2023,The Americas
,Industrial Processes (Mt CO2e),1962,Europe
0.000712639,Building (Energy) (Mt CO2e),2015,Middle East
0.002458868,Industrial Combustion (Energy) (Mt CO2e),1973,Oceania
0.001303387,Industrial Combustion (Energy) (Mt CO2e),2017,Middle East
9.475033950e-05,Building (Energy) (Mt CO2e),2018,Africa
5.333785488e-06,Agriculture (Mt CO2e),1990,Africa
0.000146712,Fugitive Emissions (Energy) (Mt CO2e),2018,Africa
3.772781252e-06,Waste (Mt CO2e),1994,Oceania
0.001105336,Building (Energy) (Mt CO2e),1996,The Americas
1.920808408e-05,Agriculture (Mt CO2e),2013,Asia
,Industrial Combustion (Energy) (Mt CO2e),1962,The Americas
0.000134213,Industrial Combustion (Energy) (Mt CO2e),2008,Africa
1.991863964e-06,Waste (Mt CO2e),1995,Asia
0.000653284,Fugitive Emissions (Energy) (Mt CO2e),1998,The Americas
0.001133297,Building (Energy) (Mt CO2e),2012,Europe
,Fugitive Emissions (Energy) (Mt CO2e),1968,Africa
,Fugitive Emissions (Energy) (Mt CO2e),1965,Europe
0.000653665,Fugitive Emissions (Energy) (Mt CO2e),1998,Europe
0.000479812,Industrial Combustion (Energy) (Mt CO2e),1984,Asia
0.001111588,Industrial Combustion (Energy) (Mt CO2e),2006,Middle East
0.000307444,Power Industry (Energy) (Mt CO2e),1982,Africa
0.002522182,Transport (Energy) (Mt CO2e),1993,The Americas
,Waste (Mt CO2e),1962,Asia
0.000295840,Building (Energy) (Mt CO2e),1982,Asia
0.005146430,Power Industry (Energy) (Mt CO2e),2015,Oceania
0.001069426,Industrial Combustion (Energy) (Mt CO2e),2000,The Americas
5.130604276e-06,Agriculture (Mt CO2e),2022,Africa
2.806977550e-05,Agriculture (Mt CO2e),2012,Europe
0.000643470,Fugitive Emissions (Energy) (Mt CO2e),2019,The Americas
0.001010312,Industrial Combustion (Energy) (Mt CO2e),2010,Asia
,Industrial Combustion (Energy) (Mt CO2e),1964,Middle East
0.000495909,Industrial Processes (Mt CO2e),2002,Europe
0.001366437,Industrial Combustion (Energy) (Mt CO2e),2022,Middle East
1.885894634e-05,Agriculture (Mt CO2e),2009,Asia
,Agriculture (Mt CO2e),1966,Middle East
8.341442392e-05,Building (Energy) (Mt CO2e),2002,Africa
0.003192752,Power Industry (Energy) (Mt CO2e),2008,The Americas
0.000241831,Industrial Combustion (Energy) (Mt CO2e),1980,Africa
0.000383853,Power Industry (Energy) (Mt CO2e),2005,Africa
0.001855009,Industrial Combustion (Energy) (Mt CO2e),1989,Oceania
9.065388943e-06,Agriculture (Mt CO2e),2017,Middle East
2.402758096e-05,Agriculture (Mt CO2e),1999,Europe
0.000996405,Building (Energy) (Mt CO2e),2001,The Americas
0.000266173,Fugitive Emissions (Energy) (Mt CO2e),1991,Africa
1.091738178e-05,Agriculture (Mt CO2e),1981,Asia
0.000495426,Transport (Energy) (Mt CO2e),2019,Asia
,Power Industry (Energy) (Mt CO2e),1965,The Americas
0.000374450,Power Industry (Energy) (Mt CO2e),2019,Africa
0.000549005,Industrial Processes (Mt CO2e),2006,Middle East
1.920794505e-05,Agriculture (Mt CO2e),1993,The Americas
0.000803438,Building (Energy) (Mt CO2e),2017,Oceania
0.000566321,Building (Energy) (Mt CO2e),1988,Oceania
9.929722052e-07,Waste (Mt CO2e),2024,The Americas
,Agriculture (Mt CO2e),1960,Asia
,Agriculture (Mt CO2e),1965,Middle East
0.001624052,Transport (Energy) (Mt CO2e),2018,Europe
0.002184604,Power Industry (Energy) (Mt CO2e),2019,The Americas
0.000245475,Industrial Processes (Mt CO2e),1974,Middle East
0.000618734,Fugitive Emissions (Energy) (Mt CO2e),1983,The Americas
7.325260099e-05,Industrial Processes (Mt CO2e),1999,Africa
,Fugitive Emissions (Energy) (Mt CO2e),1966,Europe
1.694653234e-05,Agriculture (Mt CO2e),2023,Asia
,Waste (Mt CO2e),1966,Oceania
0.002018591,Building (Energy) (Mt CO2e),1972,The Americas
0.000732137,Fugitive Emissions (Energy) (Mt CO2e),1999,Oceania
0.000966603,Industrial Combustion (Energy) (Mt CO2e),2012,Europe
,Agriculture (Mt CO2e),1963,Oceania
0.001752856,Industrial Combustion (Energy) (Mt CO2e),2001,Oceania
0.000624986,Fugitive Emissions (Energy) (Mt CO2e),1984,Europe
0.000142076,Industrial Combustion (Energy) (Mt CO2e),1993,Africa
8.544185149e-06,Agriculture (Mt CO2e),2013,Middle East
2.671730089e-05,Agriculture (Mt CO2e),2023,Europe
0.006261874,Power Industry (Energy) (Mt CO2e),2008,Oceania
0.002730851,Power Industry (Energy) (Mt CO2e),2011,Middle East
,Fugitive Emissions (Energy) (Mt CO2e),1962,Middle East
5.047047915e-06,Agriculture (Mt CO2e),2023,Africa
0.000664404,Building (Energy) (Mt CO2e),1993,Middle East
0.003543446,Power Industry (Energy) (Mt CO2e),1999,The Americas
4.215394597e-06,Waste (Mt CO2e),1987,Oceania
1.439399384e-06,Waste (Mt CO2e),1982,Asia
0.000793597,Fugitive Emissions (Energy) (Mt CO2e),1994,Middle East
,Agriculture (Mt CO2e),1966,The Americas
0.000172204,Transport (Energy) (Mt CO2e),1980,Africa
0.000383613,Fugitive Emissions (Energy) (Mt CO2e),1974,Africa
0.000589147,Fugitive Emissions (Energy) (Mt CO2e),2023,The Americas
0.002661689,Transport (Energy) (Mt CO2e),1975,The Americas
0.001790994,Industrial Combustion (Energy) (Mt CO2e),2000,Oceania
0.005762476,Power Industry (Energy) (Mt CO2e),2012,Oceania
8.198970808e-05,Building (Energy) (Mt CO2e),2022,Africa
0.000365109,Industrial Processes (Mt CO2e),1998,The Americas
7.682645277e-09,Waste (Mt CO2e),1992,Africa
0.002032909,Transport (Energy) (Mt CO2e),1972,Oceania
0.000166548,Fugitive Emissions (Energy) (Mt CO2e),2003,Asia
9.983179148e-05,Building (Energy) (Mt CO2e),1976,Africa
0.001272430,Industrial Combustion (Energy) (Mt CO2e),2014,Oceania
4.203189938e-06,Waste (Mt CO2e),1991,Oceania
0.001182691,Industrial Combustion (Energy) (Mt CO2e),1996,Europe
1.985254770e-06,Waste (Mt CO2e),2007,Asia
0.002660916,Transport (Energy) (Mt CO2e),1974,The Americas
0.001105098,Building (Energy) (Mt CO2e),2020,Europe
0.001756356,Industrial Combustion (Energy) (Mt CO2e),1986,Oceania
1.641699051e-06,Waste (Mt CO2e),2023,Oceania
,Agriculture (Mt CO2e),1961,Oceania
0.000173516,Transport (Energy) (Mt CO2e),1985,Africa
0.002433134,Power Industry (Energy) (Mt CO2e),1971,The Americas
0.000514041,Industrial Processes (Mt CO2e),2007,Oceania
2.262076828e-06,Waste (Mt CO2e),2019,Asia
0.000269148,Power Industry (Energy) (Mt CO2e),1971,Asia
0.000262503,Fugitive Emissions (Energy) (Mt CO2e),2001,Africa
0.000751915,Building (Energy) (Mt CO2e),1994,Middle East
1.878999807e-05,Agriculture (Mt CO2e),1985,Oceania
,Agriculture (Mt CO2e),1962,Asia
9.104327907e-05,Building (Energy) (Mt CO2e),1982,Africa
0.002899427,Transport (Energy) (Mt CO2e),2007,Oceania
7.907024780e-05,Agriculture (Mt CO2e),2016,Oceania
0.000299724,Industrial Processes (Mt CO2e),1983,Middle East
0.000438259,Industrial Combustion (Energy) (Mt CO2e),1970,Asia
0.001694256,Transport (Energy) (Mt CO2e),2017,Middle East
0.000163736,Transport (Energy) (Mt CO2e),1979,Africa
0.003223689,Power Industry (Energy) (Mt CO2e),2001,Europe
,Transport (Energy) (Mt CO2e),1968,Africa
0.002815601,Power Industry (Energy) (Mt CO2e),2023,Middle East
0.000659753,Fugitive Emissions (Energy) (Mt CO2e),2005,The Americas
0.000178666,Transport (Energy) (Mt CO2e),1991,Africa
3.538688749e-09,Waste (Mt CO2e),1978,Middle East
1.042933923e-05,Agriculture (Mt CO2e),2011,Middle East
0.003608765,Power Industry (Energy) (Mt CO2e),1998,The Americas
,Agriculture (Mt CO2e),1967,Middle East
3.784715264e-06,Waste (Mt CO2e),1972,Europe
1.474047097e-05,Agriculture (Mt CO2e),1982,Oceania
0.001232877,Building (Energy) (Mt CO2e),1988,The Americas
,Building (Energy) (Mt CO2e),1960,Middle East
3.123906465e-06,Waste (Mt CO2e),2024,Europe
,Power Industry (Energy) (Mt CO2e),1960,Europe
0.000321426,Transport (Energy) (Mt CO2e),2006,Asia
0.000475307,Power Industry (Energy) (Mt CO2e),1975,Middle East
,Building (Energy) (Mt CO2e),1964,The Americas
0.000495364,Industrial Processes (Mt CO2e),2015,Europe
0.002591009,Power Industry (Energy) (Mt CO2e),2018,Europe
0.000308159,Power Industry (Energy) (Mt CO2e),1974,Asia
0.000213511,Fugitive Emissions (Energy) (Mt CO2e),2008,Africa
5.101004270e-07,Waste (Mt CO2e),1989,The Americas
0.000481238,Industrial Processes (Mt CO2e),1991,Oceania
4.058048772e-06,Waste (Mt CO2e),1978,Oceania
0.001414289,Transport (Energy) (Mt CO2e),1996,Europe
0.003046025,Power Industry (Energy) (Mt CO2e),1973,Oceania
9.427457279e-05,Industrial Processes (Mt CO2e),2017,Africa
,Transport (Energy) (Mt CO2e),1961,Asia
,Fugitive Emissions (Energy) (Mt CO2e),1962,The Americas
