Country Name,Country Code,Series Name,Series Code,2025 [YR2025],2024 [YR2024],2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967],1966 [YR1966],1965 [YR1965],1964 [YR1964],1963 [YR1963],1962 [YR1962],1961 [YR1961],1960 [YR1960]
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,788844284,769280888,750491370,731821393,713090928,694446100,675950189,657801085,640058741,623369401,607123269,590968990,575202699,559609961,544737983,530308387,516003448,502070763,488580707,475606210,463076637,450928044,439173286,427820358,416807868,406156661,395750933,385505757,375646235,366138524,356580375,347441809,338324002,329082707,320442961,311748681,302939121,294498625,286067346,277621771,269450407,261458202,253644643,245822010,238043099,230792729,223974122,217074286,210680842,204802976,198914573,193186642,187524135,182126556,177022314,171984985,167088245,162329396,157704381,153281203,149033472,144904094,140945536,137171659,133534923,130075728
Africa Eastern and Southern,AFE,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..,634.4063,619.3657,618.5414,631.4195,613.7192,655.3423,646.7127,637.9923,628.154,623.606,635.8143,613.4711,589.1126,569.3149,576.4621,561.8464,588.3964,557.2612,534.2167,524.9596,510.4845,473.9017,450.4351,436.8347,425.029,418.7455,431.6088,423.8012,407.2145,392.5591,372.7987,364.4796,364.3912,370.7246,378.5089,366.0531,368.8669,362.7894,341.8973,341.1111,333.2586,315.0471,311.9771,308.1463,296.4287,279.7941,273.4407,293.7755,289.9791,277.4182,264.9263,257.7865,236.1448,227.1802,228.5328,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,..,0.837679788408201,0.838104192853686,0.858131540848484,0.899169592257325,0.897581461901748,0.984697077678186,0.998509432404654,1.0130084445419,1.02549175379521,1.04629121620399,1.09673469389234,1.08764447453486,1.0733508354952,1.06523535264226,1.10738321159763,1.10870336991863,1.19288937244139,1.160496830435,1.14239262022554,1.15252506257628,1.15053019878162,1.09630907924875,1.06934927513265,1.06415409635223,1.0622421586223,1.07376338854699,1.13615440775396,1.14498438860894,1.1287008570523,1.11727345580129,1.08887466616039,1.0933250941902,1.12406414849693,1.1746426443144,1.23288364528172,1.22743567818719,1.27348918004643,1.29058345898717,1.25374636692585,1.28907910675174,1.29820321819487,1.26533543531829,1.29309255022719,1.31914299993039,1.30900356809804,1.27328737791503,1.28408090461014,1.4215621541821,1.44353624646735,1.42197868536382,1.39829816086415,1.40180017970084,1.32231735196477,1.30899106090918,1.35567134537109,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,..,2.8442,2.7646,2.6826,2.6219,2.2254,1.8839,1.9691,2.0331,2.2319,1.8027,1.9703,1.7751,1.3183,1.2226,1.1917,0.9713,0.937,0.9633,0.9882,0.8601,0.9752,0.7281,0.9428,0.9207,0.8608,0.8197,0.8138,0.8214,0.8806,0.5858,0.6921,0.7527,0.6432,0.6818,0.7038,0.6887,0.7476,0.6563,0.6699,0.7287,0.7217,0.669,0.8394,0.8544,0.766,0.6379,0.5624,0.5974,0.6749,0.7759,0.7003,0.624,0.624,0.624,0.624,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),EN.GHG.CO2.BU.MT.CE.AR5,..,41.7037,41.7476,41.177,41.8944,38.22,41.7662,49.4379,59.2034,43.9874,46.9935,50.1746,49.746,47.2136,36.4956,33.2887,49.949,50.0078,47.2221,39.7601,34.3143,32.9358,31.1191,29.0673,26.0974,22.9918,24.841,25.299,26.3482,26.5274,27.4453,27.5565,27.5899,22.432,22.8888,22.4423,22.6356,21.0624,19.6411,18.4349,20.3034,19.9787,17.7769,17.1053,18.9843,21.0018,22.2366,24.635,23.3735,24.8531,24.045,23.3082,23.0052,22.6198,22.388,22.388,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.CO2.FE.MT.CE.AR5,..,77.7873,77.6554,74.5494,82.0271,79.1591,86.5336,88.3053,91.9777,88.8337,89.0109,86.0672,85.9486,89.0951,89.6972,97.4735,81.1227,104.4132,105.0629,98.6737,100.0204,91.8528,87.4709,91.8382,91.4595,68.8308,69.9285,68.6108,70.3311,69.212,66.6012,60.0159,59.3782,66.2288,68.6246,70.655,68.7922,75.9608,71.7545,70.4775,67.9992,65.2955,61.6658,49.0389,36.0134,34.5682,29.5941,29.2312,27.3451,21.7058,24.5739,24.2549,23.3822,21.5048,20.2291,20.6903,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CO2.IC.MT.CE.AR5,..,78.5775,77.7505,73.9143,73.3346,71.94,76.4884,77.6813,67.8563,71.5881,70.5538,73.2454,68.7356,64.4298,63.7425,69.1253,76.5449,59.4744,59.206,64.6942,66.5946,61.7815,54.7271,52.8976,49.4664,53.281,53.4894,59.4508,56.8511,53.0111,48.8401,47.8069,48.0937,56.0812,62.584,68.4353,66.7488,70.3655,68.4967,66.2889,67.3044,64.9935,65.2059,74.8487,84.434,81.5506,77.1542,73.7461,75.3062,73.8206,65.7097,63.8165,64.4146,56.2488,54.7746,54.7746,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),EN.GHG.CO2.IP.MT.CE.AR5,..,42.5011,40.6725,39.1414,39.4219,35.0238,36.8517,37.8294,37.2845,36.99,33.9731,32.5241,30.7025,28.7622,27.9639,25.8882,22.4259,25.0438,25.9834,24.618,23.5069,23.5351,20.9349,19.4916,18.313,18.3696,18.1624,18.2935,18.3869,17.5622,15.8047,14.9504,13.5396,12.9634,13.4297,13.9829,14.4382,14.2158,13.7732,13.8337,14.3487,14.786,12.9418,15.2237,18.6619,18.452,19.3549,17.931,18.6538,19.4411,19.8831,22.8602,23.3035,21.8839,21.0941,21.9852,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,..,264.9669,250.9278,260.1308,269.1396,278.52,287.939,268.8897,260.3055,267.9193,266.459,283.4419,268.155,259.6023,256.2198,261.5599,247.4084,265.2893,237.4767,230.4164,228.4153,230.647,214.5279,195.6449,191.9004,204.4392,195.3995,204.4906,196.3115,187.126,180.1147,173.1884,168.899,158.7552,156.147,155.0343,148.0419,141.9224,147.076,132.0183,130.5713,127.3275,118.1186,116.3567,110.1537,101.7292,93.9355,86.2694,109.0106,108.9094,99.6468,89.7871,80.4373,72.3871,68.5819,68.5819,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,..,126.023,127.844,126.9431,122.9773,108.6282,123.8772,122.598,119.3298,116.6012,114.8105,108.3889,108.4062,98.6896,93.9714,87.9323,83.4224,83.2291,81.3454,75.0643,71.2468,68.7559,64.3917,60.551,58.6762,56.2544,56.1041,54.6492,54.7501,52.8939,53.1661,48.5874,46.2258,47.2868,46.3679,47.255,44.7066,44.5915,41.3905,40.1732,39.8548,40.1554,38.6682,38.5638,39.0435,38.36,36.8802,41.0652,39.4887,40.574,42.7828,40.1984,42.6196,40.876,39.4885,39.4885,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,..,0.0034,0.0033,0.0032,0.003,0.0029,0.0028,0.0026,0.0026,0.0024,0.0024,0.0022,0.0021,0.0021,0.002,0.0019,0.0018,0.0018,0.0017,0.0017,0.0017,0.0015,0.0015,0.0015,0.0014,0.0014,0.0014,0.0014,0.0012,0.0013,0.0013,0.0012,0.0011,0.0011,0.0011,0.001,0.0009,0.0009,0.0009,0.0009,0.0009,0.0008,0.0008,0.0007,0.0007,0.0006,0.0006,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0004,0.0004,..,..,..,..,..,..,..,..,..,..
